hallmark_name	anova_f_statistic	anova_p_value	cg	library_type	anova_p_value_bonferroni	significant_anova
HALLMARK_PANCREAS_BETA_CELLS	1.4560864177039972	0.24860679365048022	Ependymoma	stranded	1	FALSE
HALLMARK_PEROXISOME	0.28033907728345386	0.8390966681286389	Ependymoma	stranded	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.805081042241918	0.5020400165449888	Ependymoma	stranded	1	FALSE
HALLMARK_PROTEIN_SECRETION	1.42296173417744	0.25774952040368504	Ependymoma	stranded	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.2014792832727514	0.328048927672818	Ependymoma	stranded	1	FALSE
HALLMARK_SPERMATOGENESIS	1.1736715738982249	0.3381054845811976	Ependymoma	stranded	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	2.9074751317718577	0.052800955873251294	Ependymoma	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.8236927322205227	0.021015650262822816	Ependymoma	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.027787595754335957	0.9936022355733065	Ependymoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	1.8472724219937093	0.16244626698629583	Ependymoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	2.857991094394247	0.055572235233304325	Ependymoma	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.8704002789403655	0.4685286404268728	Ependymoma	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	3.909857002491611	0.019320876790823116	Ependymoma	stranded	0.9660438395411558	FALSE
HALLMARK_ADIPOGENESIS	3.2379375869291858	0.04073355818448951	HGG	stranded	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	1.0092000656506293	0.40660802132998514	HGG	stranded	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	1.732323228401694	0.18832281447354188	HGG	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	0.5025582635785543	0.6842718780680612	HGG	stranded	1	FALSE
HALLMARK_APICAL_JUNCTION	0.5003080597932128	0.6857681018965738	HGG	stranded	1	FALSE
HALLMARK_APICAL_SURFACE	2.5397933490792264	0.08143874753735565	HGG	stranded	1	FALSE
HALLMARK_APOPTOSIS	0.4372874411638819	0.7284375766395575	HGG	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	1.9322125898273388	0.1525448058735944	HGG	stranded	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7617809980865458	0.5270491868219767	HGG	stranded	1	FALSE
HALLMARK_COAGULATION	0.5421118115014569	0.6583083235917475	HGG	stranded	1	FALSE
HALLMARK_COMPLEMENT	0.8871954444111145	0.46245429874170985	HGG	stranded	1	FALSE
HALLMARK_DNA_REPAIR	4.300499510061481	0.015089963004330624	HGG	stranded	0.7544981502165312	FALSE
HALLMARK_E2F_TARGETS	2.955492347757598	0.053704133796010675	HGG	stranded	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.23144242247760688	0.8735276472044822	HGG	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.24020355288574388	0.8673878791890972	HGG	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	0.9835636302314982	0.4177921092938349	HGG	stranded	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	2.608976812865573	0.07592805866507558	HGG	stranded	1	FALSE
HALLMARK_G2M_CHECKPOINT	2.4255588285825134	0.09148703418438926	HGG	stranded	1	FALSE
HALLMARK_GLYCOLYSIS	1.691788624690381	0.19658307305611447	HGG	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	1.5930273868616327	0.21830950331334864	HGG	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	1.5017458951483804	0.24058023836084166	HGG	stranded	1	FALSE
HALLMARK_HYPOXIA	0.11955526239645302	0.9476773552748815	HGG	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	0.5198552471307052	0.6728384045628399	HGG	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4955147967124987	0.6889619171074807	HGG	stranded	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	0.3283500490521398	0.8048661897399462	HGG	stranded	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.7521531273413312	0.5323192706319186	HGG	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.7259129812311121	0.5469100996345091	HGG	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	0.06673557885039678	0.9770070384742002	HGG	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	1.0431397260457018	0.3922374472352397	HGG	stranded	1	FALSE
HALLMARK_MITOTIC_SPINDLE	4.605264831593352	0.011501902099766105	HGG	stranded	0.5750951049883052	FALSE
HALLMARK_MTORC1_SIGNALING	0.9053701160276377	0.45370788914824467	HGG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	2.045821632519995	0.1354415993229662	HGG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.0554812858593576	0.38713290465610245	HGG	stranded	1	FALSE
HALLMARK_MYOGENESIS	0.24472253958394438	0.8642115203055488	HGG	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	1.9096818932556237	0.1561969528181083	HGG	stranded	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.264151916222808	0.01559262343289521	HGG	stranded	0.7796311716447605	FALSE
HALLMARK_P53_PATHWAY	0.6243237341139292	0.606526656296394	HGG	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	1.9049015170990016	0.15698349674027443	HGG	stranded	1	FALSE
HALLMARK_PEROXISOME	4.107911702137925	0.017968161413815794	HGG	stranded	0.8984080706907897	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.6519088470712041	0.5898506190588997	HGG	stranded	1	FALSE
HALLMARK_PROTEIN_SECRETION	2.962867734810066	0.053314292930566366	HGG	stranded	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.5047999964933763	0.6827832821310098	HGG	stranded	1	FALSE
HALLMARK_SPERMATOGENESIS	2.614186135886258	0.07552946793765246	HGG	stranded	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	0.9583370119736391	0.42907928476008506	HGG	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.245842993966812	0.8634230528337274	HGG	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.8918790447606065	0.46018574410172564	HGG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	0.40347821100617975	0.7518678538111537	HGG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.39551177467374576	0.7574344325888333	HGG	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.6550972349620421	0.5879463939207266	HGG	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	1.4694595601528893	0.24900113569481402	HGG	stranded	1	FALSE
HALLMARK_ADIPOGENESIS	3.968751738932783	0.01607376951071428	LGG	stranded	0.8036884755357141	FALSE
HALLMARK_ALLOGRAFT_REJECTION	1.1811348467780691	0.33186079667051016	LGG	stranded	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	3.0977244135796944	0.04005987153769507	LGG	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	0.7953321474179684	0.50528950416617	LGG	stranded	1	FALSE
HALLMARK_APICAL_JUNCTION	1.6443281049802327	0.19800911914030295	LGG	stranded	1	FALSE
HALLMARK_APICAL_SURFACE	2.715874142717238	0.06048922098905589	LGG	stranded	1	FALSE
HALLMARK_APOPTOSIS	3.3989443023245682	0.02908542668011201	LGG	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	5.366550608781612	0.0040270042179461904	LGG	stranded	0.20135021089730953	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4.831065663794219	0.006763399799690979	LGG	stranded	0.33816998998454895	FALSE
HALLMARK_COAGULATION	2.21805687356907	0.10448952219587332	LGG	stranded	1	FALSE
HALLMARK_COMPLEMENT	2.194183926380632	0.10728924524402476	LGG	stranded	1	FALSE
HALLMARK_DNA_REPAIR	2.105095046197072	0.11843418049280337	LGG	stranded	1	FALSE
HALLMARK_E2F_TARGETS	1.048759702082455	0.38400834091786024	LGG	stranded	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.338294500132338	0.09148730604417656	LGG	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	3.312672642536249	0.03186369870130951	LGG	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	3.9454262520540864	0.01646336935799571	LGG	stranded	0.8231684678997856	FALSE
HALLMARK_FATTY_ACID_METABOLISM	4.037915216155155	0.014974389460209276	LGG	stranded	0.7487194730104638	FALSE
HALLMARK_G2M_CHECKPOINT	0.9531950038129487	0.42628002858167235	LGG	stranded	1	FALSE
HALLMARK_GLYCOLYSIS	2.470468453208831	0.07910069233239891	LGG	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	1.737003694774796	0.17851980636192102	LGG	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	1.8457253914650353	0.15810231308167325	LGG	stranded	1	FALSE
HALLMARK_HYPOXIA	2.218362476987891	0.10445417233571914	LGG	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	1.7779419378158383	0.17053650810914012	LGG	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.4174123843000033	0.255165027026417	LGG	stranded	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	1.4606514298201816	0.2431389173594257	LGG	stranded	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.5127547595603792	0.22938875973676554	LGG	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.9559135986011333	0.13981690045266526	LGG	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	4.347465203229868	0.010938478678395229	LGG	stranded	0.5469239339197615	FALSE
HALLMARK_KRAS_SIGNALING_UP	2.4954246642805833	0.07696329119377919	LGG	stranded	1	FALSE
HALLMARK_MITOTIC_SPINDLE	1.6274660077681915	0.20177808203261235	LGG	stranded	1	FALSE
HALLMARK_MTORC1_SIGNALING	2.2776533046583123	0.09782294324124634	LGG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	1.7253844252859005	0.18085351064158173	LGG	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	0.5277091715960248	0.6663542421512287	LGG	stranded	1	FALSE
HALLMARK_MYOGENESIS	3.23292318335154	0.03467887152949386	LGG	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	3.030487234128222	0.043053403172347654	LGG	stranded	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.5585194722423634	0.024593430338659582	LGG	stranded	1	FALSE
HALLMARK_P53_PATHWAY	3.1808196482774584	0.036657362876130306	LGG	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	2.4756104652470268	0.07865533929818985	LGG	stranded	1	FALSE
HALLMARK_PEROXISOME	5.3897681326870215	0.003938755770182139	LGG	stranded	0.19693778850910695	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.862638421772762	0.1551453920381804	LGG	stranded	1	FALSE
HALLMARK_PROTEIN_SECRETION	2.395729416211434	0.08587590330399214	LGG	stranded	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2.741734890381742	0.058812002283348236	LGG	stranded	1	FALSE
HALLMARK_SPERMATOGENESIS	2.0697102553079842	0.12318339794028668	LGG	stranded	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	1.9220455622789028	0.1451963510013914	LGG	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.610091697313244	0.20573658942284995	LGG	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.2111529302331296	0.3210060639160108	LGG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	2.7680135457442523	0.05715704534126966	LGG	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	3.544750684885739	0.024950734010032068	LGG	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	2.1641622790111192	0.11091960903771816	LGG	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	3.0644830579777875	0.04151175795049544	LGG	stranded	1	FALSE
HALLMARK_ADIPOGENESIS	2.543660899800225	0.08111974347224099	Medulloblastoma	stranded	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	1.1580509440618725	0.34711625755415654	Medulloblastoma	stranded	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	2.5402003548066467	0.08140511423235404	Medulloblastoma	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	4.161406318194142	0.01711363695059301	Medulloblastoma	stranded	0.8556818475296504	FALSE
HALLMARK_APICAL_JUNCTION	4.354475942906903	0.014375447858095462	Medulloblastoma	stranded	0.7187723929047731	FALSE
HALLMARK_APICAL_SURFACE	2.2140215183583067	0.11371960871755366	Medulloblastoma	stranded	1	FALSE
HALLMARK_APOPTOSIS	2.5117588687719663	0.08379125630191965	Medulloblastoma	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	1.3155879910073873	0.293422549737078	Medulloblastoma	stranded	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.3684249752197624	0.03591389160244057	Medulloblastoma	stranded	1	FALSE
HALLMARK_COAGULATION	3.7903290470382562	0.024086460272039652	Medulloblastoma	stranded	1	FALSE
HALLMARK_COMPLEMENT	3.954983343826112	0.020674572856060697	Medulloblastoma	stranded	1	FALSE
HALLMARK_DNA_REPAIR	0.6895726531779869	0.567666954080433	Medulloblastoma	stranded	1	FALSE
HALLMARK_E2F_TARGETS	21.736642109663723	6.658767582916832e-7	Medulloblastoma	stranded	3.329383791458416e-5	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.1733160616337748	0.1186165459441621	Medulloblastoma	stranded	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	4.0821111655033215	0.018396620894686595	Medulloblastoma	stranded	0.9198310447343298	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	2.8831381857448624	0.05769394283154238	Medulloblastoma	stranded	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	2.3622986564509265	0.09760923896180776	Medulloblastoma	stranded	1	FALSE
HALLMARK_G2M_CHECKPOINT	17.077029486089753	4.696595402432358e-6	Medulloblastoma	stranded	2.3482977012161788e-4	TRUE
HALLMARK_GLYCOLYSIS	3.780635766945028	0.024305359432553783	Medulloblastoma	stranded	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	3.3802529942311197	0.0355082534525484	Medulloblastoma	stranded	1	FALSE
HALLMARK_HEME_METABOLISM	1.384373338047162	0.2726541091887606	Medulloblastoma	stranded	1	FALSE
HALLMARK_HYPOXIA	3.282637733766541	0.03900878846120782	Medulloblastoma	stranded	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	1.821386021448782	0.1714108963624057	Medulloblastoma	stranded	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.3022557919210453	0.03827666453807601	Medulloblastoma	stranded	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	2.8979544268823982	0.056851900732772034	Medulloblastoma	stranded	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.278679082958937	0.10637419882738317	Medulloblastoma	stranded	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.7291291283662322	0.06727766381272235	Medulloblastoma	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	1.8885032136855715	0.1597131298634866	Medulloblastoma	stranded	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	1.26415157935192	0.3099806944926798	Medulloblastoma	stranded	1	FALSE
HALLMARK_MITOTIC_SPINDLE	5.062243611074353	0.007736560935713548	Medulloblastoma	stranded	0.3868280467856774	FALSE
HALLMARK_MTORC1_SIGNALING	1.9907760910705534	0.14346296309044868	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.6610200674708265	0.5844219184906357	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.8376795571170337	0.1684915527420704	Medulloblastoma	stranded	1	FALSE
HALLMARK_MYOGENESIS	3.786245090606815	0.02417842710960866	Medulloblastoma	stranded	1	FALSE
HALLMARK_NOTCH_SIGNALING	5.139065059925843	0.007246401890916641	Medulloblastoma	stranded	0.3623200945458321	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.1061017951535748	0.12719421754817276	Medulloblastoma	stranded	1	FALSE
HALLMARK_P53_PATHWAY	2.700930634651803	0.06920911570527619	Medulloblastoma	stranded	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	2.9497913148245507	0.05400755808068661	Medulloblastoma	stranded	1	FALSE
HALLMARK_PEROXISOME	0.4357830566679345	0.7294728943157336	Medulloblastoma	stranded	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4.090482306842026	0.018256411618893163	Medulloblastoma	stranded	0.9128205809446581	FALSE
HALLMARK_PROTEIN_SECRETION	4.015600648313004	0.01955267889875036	Medulloblastoma	stranded	0.977633944937518	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4.212941338408581	0.016331674866383445	Medulloblastoma	stranded	0.8165837433191723	FALSE
HALLMARK_SPERMATOGENESIS	12.215906100974294	5.519135429800935e-5	Medulloblastoma	stranded	0.0027595677149004675	TRUE
HALLMARK_TGF_BETA_SIGNALING	2.5204485226881372	0.08305445081190899	Medulloblastoma	stranded	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.5958004580386558	0.2176669607629392	Medulloblastoma	stranded	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.9071516472271783	0.15661275611996783	Medulloblastoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_DN	1.7433307034859622	0.18614221979517995	Medulloblastoma	stranded	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.8691485185949086	0.4712909380894582	Medulloblastoma	stranded	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.41799997177256104	0.7417637118395526	Medulloblastoma	stranded	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	4.547274730564336	0.012106404156468721	Medulloblastoma	stranded	0.6053202078234361	FALSE
